Starting Sweep: Batch Size: 64, Learning Rate: 0.0001
Making datasets and defining subsets
Training: 60000 -> 60000
Testing: 10000 -> 10000
Making Dataloaders
Defining network
Training!
[1/3, 94/938] Training Loss: 0.9891038099501995
[1/3, 188/938] Training Loss: 0.8737916293296408
[1/3, 282/938] Training Loss: 0.782822588656811
[1/3, 376/938] Training Loss: 0.7011297446616153
[1/3, 470/938] Training Loss: 0.5989046299711187
[1/3, 564/938] Training Loss: 0.5016847665005542
[1/3, 658/938] Training Loss: 0.46008621600080046
[1/3, 752/938] Training Loss: 0.41464436815140093
[1/3, 846/938] Training Loss: 0.39292099691451865
Testing!
[1/3, 1/157]
[1/3, 2/157]
[1/3, 3/157]
[1/3, 4/157]
[1/3, 5/157]
[1/3, 6/157]
[1/3, 7/157]
[1/3, 8/157]
[1/3, 9/157]
[1/3, 10/157]
[1/3, 11/157]
[1/3, 12/157]
[1/3, 13/157]
[1/3, 14/157]
[1/3, 15/157]
[1/3, 16/157]
[1/3, 17/157]
[1/3, 18/157]
[1/3, 19/157]
[1/3, 20/157]
[1/3, 21/157]
[1/3, 22/157]
[1/3, 23/157]
[1/3, 24/157]
[1/3, 25/157]
[1/3, 26/157]
[1/3, 27/157]
[1/3, 28/157]
[1/3, 29/157]
[1/3, 30/157]
[1/3, 31/157]
[1/3, 32/157]
[1/3, 33/157]
[1/3, 34/157]
[1/3, 35/157]
[1/3, 36/157]
[1/3, 37/157]
[1/3, 38/157]
[1/3, 39/157]
[1/3, 40/157]
[1/3, 41/157]
[1/3, 42/157]
[1/3, 43/157]
[1/3, 44/157]
[1/3, 45/157]
[1/3, 46/157]
[1/3, 47/157]
[1/3, 48/157]
[1/3, 49/157]
[1/3, 50/157]
[1/3, 51/157]
[1/3, 52/157]
[1/3, 53/157]
[1/3, 54/157]
[1/3, 55/157]
[1/3, 56/157]
[1/3, 57/157]
[1/3, 58/157]
[1/3, 59/157]
[1/3, 60/157]
[1/3, 61/157]
[1/3, 62/157]
[1/3, 63/157]
[1/3, 64/157]
[1/3, 65/157]
[1/3, 66/157]
[1/3, 67/157]
[1/3, 68/157]
[1/3, 69/157]
[1/3, 70/157]
[1/3, 71/157]
[1/3, 72/157]
[1/3, 73/157]
[1/3, 74/157]
[1/3, 75/157]
[1/3, 76/157]
[1/3, 77/157]
[1/3, 78/157]
[1/3, 79/157]
[1/3, 80/157]
[1/3, 81/157]
[1/3, 82/157]
[1/3, 83/157]
[1/3, 84/157]
[1/3, 85/157]
[1/3, 86/157]
[1/3, 87/157]
[1/3, 88/157]
[1/3, 89/157]
[1/3, 90/157]
[1/3, 91/157]
[1/3, 92/157]
[1/3, 93/157]
[1/3, 94/157]
[1/3, 95/157]
[1/3, 96/157]
[1/3, 97/157]
[1/3, 98/157]
[1/3, 99/157]
[1/3, 100/157]
[1/3, 101/157]
[1/3, 102/157]
[1/3, 103/157]
[1/3, 104/157]
[1/3, 105/157]
[1/3, 106/157]
[1/3, 107/157]
[1/3, 108/157]
[1/3, 109/157]
[1/3, 110/157]
[1/3, 111/157]
[1/3, 112/157]
[1/3, 113/157]
[1/3, 114/157]
[1/3, 115/157]
